sbjID,trialn,condition,response,expected,observed,RT
10,28,0,miss,0,1,274.37
10,29,1,false_alarm,1,0,149.43
10,30,1,correct_rejection,1,1,224.71
10,31,1,correct_rejection,1,1,352.73
10,32,1,false_alarm,1,0,127.04
10,33,0,hit,0,0,279.08
10,34,1,correct_rejection,1,1,151.07
10,35,0,miss,0,1,194.31
10,36,0,hit,0,0,98.3
10,37,0,hit,0,0,120.7
10,38,0,hit,0,0,139.91
10,39,1,false_alarm,1,0,243.89
10,40,1,false_alarm,1,0,181.57
11,1,1,false_alarm,1,0,510.35
11,2,0,hit,0,0,146.86
11,3,1,false_alarm,1,0,664.46
11,4,1,correct_rejection,1,1,701.28
11,5,1,false_alarm,1,0,125.34
11,6,1,correct_rejection,1,1,448.63
11,7,0,hit,0,0,237.41
11,8,1,correct_rejection,1,1,586.25
11,9,0,hit,0,0,109.35
11,10,0,hit,0,0,141.39
11,11,1,false_alarm,1,0,171.87
11,12,1,correct_rejection,1,1,227.98
11,13,1,false_alarm,1,0,179.95
11,14,1,correct_rejection,1,1,360.62
11,15,1,correct_rejection,1,1,170.38
11,16,1,false_alarm,1,0,231.12
11,17,1,correct_rejection,1,1,506.23
11,18,1,false_alarm,1,0,223.17
11,19,0,miss,0,1,215.08
11,20,1,correct_rejection,1,1,235.91
11,21,0,hit,0,0,226.38
11,22,0,miss,0,1,336.78
11,23,0,hit,0,0,309.49
11,24,0,hit,0,0,187.92
11,25,1,correct_rejection,1,1,290.36
11,26,1,correct_rejection,1,1,258.29
11,27,0,miss,0,1,275.9
11,28,0,hit,0,0,360.73
11,29,0,miss,0,1,245.51
11,30,0,hit,0,0,266.36
11,31,1,false_alarm,1,0,141.52
11,32,0,hit,0,0,394.24
11,33,0,hit,0,0,431.18
11,34,0,hit,0,0,466.36
11,35,0,miss,0,1,155.89
11,36,1,correct_rejection,1,1,266.35
11,37,1,false_alarm,1,0,315.95
11,38,0,hit,0,0,170.25
11,39,0,hit,0,0,343.17
11,40,0,hit,0,0,336.73
12,1,1,correct_rejection,1,1,366.36
12,2,1,false_alarm,1,0,153.34
12,3,0,hit,0,0,213.37
12,4,1,false_alarm,1,0,142.82
12,5,0,hit,0,0,128.53
12,6,0,miss,0,1,299.88
12,7,0,hit,0,0,430.94
12,8,0,hit,0,0,242.37
12,9,0,hit,0,0,106.1
12,10,1,false_alarm,1,0,123.79
12,11,1,false_alarm,1,0,458.25
12,12,0,hit,0,0,439.07
12,13,1,correct_rejection,1,1,159.13
12,14,1,correct_rejection,1,1,395.9
12,15,0,miss,0,1,333.47
12,16,1,correct_rejection,1,1,131.81
12,17,0,hit,0,0,290.26
12,18,0,hit,0,0,151.13
12,19,0,miss,0,1,522.31
12,20,0,miss,0,1,211.76
12,21,0,hit,0,0,171.92
12,22,1,false_alarm,1,0,274.32
12,23,0,miss,0,1,216.68
12,24,1,false_alarm,1,0,109.49
12,25,1,correct_rejection,1,1,448.71
12,26,1,correct_rejection,1,1,251.85
12,27,0,miss,0,1,170.33
12,28,1,false_alarm,1,0,400.68
12,29,0,miss,0,1,224.67
12,30,1,correct_rejection,1,1,168.7
12,31,1,correct_rejection,1,1,123.93
12,32,0,miss,0,1,226.3
12,33,1,correct_rejection,1,1,163.88
12,34,1,correct_rejection,1,1,194.33
12,35,1,correct_rejection,1,1,474.34
12,36,0,miss,0,1,736.72
12,37,0,miss,0,1,232.7
12,38,1,correct_rejection,1,1,474.33
12,39,1,false_alarm,1,0,128.72
12,40,0,miss,0,1,603.93
13,1,0,hit,0,0,1196.77
13,2,1,correct_rejection,1,1,716.52
13,3,0,miss,0,1,474.03
13,4,1,false_alarm,1,0,178.13
13,5,1,false_alarm,1,0,675.83
13,6,0,hit,0,0,207.16
13,7,1,false_alarm,1,0,727.09
13,8,1,false_alarm,1,0,326.95
13,9,1,correct_rejection,1,1,501.51
13,10,1,false_alarm,1,0,429.42
13,11,0,hit,0,0,165.42
13,12,1,false_alarm,1,0,248.64
13,13,0,hit,0,0,111.16
13,14,0,hit,0,0,131.9
13,15,1,correct_rejection,1,1,359.16
13,16,0,miss,0,1,314.26
13,17,0,hit,0,0,208.7
13,18,0,hit,0,0,155.92
13,19,1,false_alarm,1,0,128.61
13,20,0,miss,0,1,163.97
13,21,1,correct_rejection,1,1,234.34
13,22,1,correct_rejection,1,1,213.34
13,23,0,hit,0,0,522.29
13,24,1,false_alarm,1,0,133.45
13,25,1,false_alarm,1,0,103.11
13,26,0,miss,0,1,143.03
13,27,1,false_alarm,1,0,237.5
13,28,0,hit,0,0,213.56
13,29,0,hit,0,0,88.73
13,30,0,hit,0,0,163.96
13,31,1,false_alarm,1,0,88.77
13,32,1,false_alarm,1,0,85.55
13,33,0,hit,0,0,85.52
13,34,0,hit,0,0,431.15
13,35,1,false_alarm,1,0,111.14
13,36,1,false_alarm,1,0,114.29
13,37,0,miss,0,1,482.34
13,38,1,false_alarm,1,0,117.53
13,39,0,miss,0,1,517.56
13,40,0,hit,0,0,149.56
14,1,0,hit,0,0,759.98
14,2,1,false_alarm,1,0,481.38
14,3,1,false_alarm,1,0,259.57
14,4,1,false_alarm,1,0,914.05
14,5,0,hit,0,0,502.97
14,6,0,hit,0,0,755.9
14,7,1,false_alarm,1,0,654.33
14,8,1,false_alarm,1,0,578.14
14,9,1,correct_rejection,1,1,408.63
14,10,0,miss,0,1,989.46
14,11,0,miss,0,1,343.15
14,12,1,false_alarm,1,0,301.5
14,13,0,hit,0,0,901.56
14,14,0,hit,0,0,646.95
14,15,0,miss,0,1,479.15
14,16,0,miss,0,1,575.04
14,17,0,hit,0,0,267.9
14,18,1,false_alarm,1,0,1178.36
14,19,1,false_alarm,1,0,178.28
14,20,0,miss,0,1,200.66
14,21,1,correct_rejection,1,1,170.33
14,22,1,correct_rejection,1,1,263.09
14,23,1,false_alarm,1,0,122.1
14,24,1,correct_rejection,1,1,251.97
14,25,1,false_alarm,1,0,1119.13
14,26,1,false_alarm,1,0,135.08
14,27,1,correct_rejection,1,1,106.29
14,28,0,miss,0,1,144.72
14,29,1,correct_rejection,1,1,163.89
14,30,0,miss,0,1,115.98
14,31,0,miss,0,1,167.13
14,32,0,miss,0,1,213.47
14,33,0,miss,0,1,208.72
14,34,0,miss,0,1,119.07
14,35,0,hit,0,0,251.96
14,36,1,false_alarm,1,0,227.96
14,37,0,hit,0,0,139.87
14,38,0,miss,0,1,197.55
14,39,1,false_alarm,1,0,309.58
14,40,1,false_alarm,1,0,151.09
15,1,1,false_alarm,1,0,384.17
15,2,1,false_alarm,1,0,169.32
15,3,1,correct_rejection,1,1,173.33
15,4,1,false_alarm,1,0,256.45
15,5,1,correct_rejection,1,1,205.34
15,6,1,correct_rejection,1,1,504.64
15,7,1,false_alarm,1,0,158.97
15,8,0,miss,0,1,367.05
15,9,0,hit,0,0,323.79
15,10,0,miss,0,1,280.58
15,11,0,hit,0,0,227.91
15,12,1,false_alarm,1,0,359.16
15,13,0,hit,0,0,274.24
15,14,0,hit,0,0,178.35
15,15,1,false_alarm,1,0,104.78
15,16,1,correct_rejection,1,1,371.87
15,17,1,false_alarm,1,0,288.65
15,18,0,hit,0,0,189.51
15,19,0,hit,0,0,232.72
15,20,1,false_alarm,1,0,259.82
15,21,1,correct_rejection,1,1,187.93
15,22,1,false_alarm,1,0,264.66
15,23,0,hit,0,0,360.72
15,24,0,hit,0,0,247.16
15,25,1,correct_rejection,1,1,239.09
15,26,1,correct_rejection,1,1,731.89
15,27,1,correct_rejection,1,1,192.77
15,28,1,correct_rejection,1,1,397.47
15,29,1,false_alarm,1,0,277.42
15,30,0,miss,0,1,258.27
15,31,0,hit,0,0,184.66
15,32,0,miss,0,1,125.36
15,33,0,hit,0,0,269.58
15,34,0,hit,0,0,127.08
15,35,0,miss,0,1,119.13
15,36,0,miss,0,1,104.76
15,37,0,hit,0,0,83.93
15,38,1,false_alarm,1,0,272.72
15,39,0,hit,0,0,83.96
15,40,0,hit,0,0,125.43
