"sbj_ID","strategy"
"61055020201a7da5a704f7dd","be fast by mainly focusing on the first and last character instead of trying to memorize the whole serie of characters"
"6107d788163252e3b5c348e3","I chose characters that appeared most often as first"
"610834993bac40f050062896","I wrote down all the letters that appeared in the first part. I also made a mental note out of which where very frequent and which weren't frequent at all. Likewise, I noticed certain patters in how the letters were grouped into words (rarely repeating same letter next to one another, for instance). From these facts, I tried to piece together a coherent strategy."
"610958b8473c7b96e4bd207d","i tried to remeber 3 signs and try to match it but i think it wasnt a good idea"
"610a52647a452dee7ca89360","I remembered two words that looked like ""lemon"" and ""chronicle"" to me"
"610d2275ba5f1ee0fdcee3e8","Watching the first letter, was the think that i remembered the most"
"610f2eabb45be8717fc155e0","I just had the impression that i had seen some of those words"
"61125e23136464bd2cbbefc9","I used my intuition "
"61143bd22a1649da3b52ae32","shape and similarity of symbol"
"611bdb0fed7c9df6dce28c3f","I just tried to see if it was a word I saw before or not."
"611cebb780fbae98c5bcc84d","I did not have any specific strategy, i just tried to remember most most signs that i saw in the previous blocks"
"611dc53f0098557586e89b17","I look at familiar letters"
"611e7d1295185bf6f56fd951","first and last letter differentiation."
"611e9c16e90a0d4c6f0d8df5","intuition "
"611eafa6011b0423f7d7230f","The L sign and one sign that looks like an angle"
"611eeafa283a2d1f57537fea","guessing"
"6120211d8e1eab16fcb7ad69","I memorized, tried to, the first letter of the words  and if a word started with a symbol/letter i recognized i assumed  it was from the first group"
"6122966a93af160af481836c","round shapes and straight shapes"
"6124a4ba3df07e768bd9c90b","memorise first and last 2 characters"
"61275a3158c67415afb971ff","I PAID A LOT OF ATTENTION TO THE SECOND LETTER"
"612a98181f4b6d1cf01f926c","The first symbol and the last were the same on some of the words."
"61301fcb49db2f170cb02b93","I try to rememeber the first and last letter of the previous group"
"6131f7010e926c9103558040","I was looking for familiar words"
"613867f34e206e4f573bc6ef","none specific"
"613a73d06cf1fcfef304d3fa","remember de words and shapes"
"613ab1e64acd61ebd0a7116d","the bigger words were the other alien"
"613f57084e80f056c78f9b7b","Length of the word, repetition of characters, which characters were began and ended words, which characters were placed next to each other."
"6140f1c4ead758f1b72bbe2f","Known signs i said yes"
"6140ff9c5750f0081ca8d71f","LuL looking part were in the first group's words"
"6144742e57a61e489cc9e978","I focused mainly on the first symbols of the words"
"6147aed5b2a4f748dc2b6ba4","the ""yes"" words looks more aligned, and start mostly with 90-degree letters (as an angle), not the round letters   "
"614b323022fcd8b7408005a6","The characters of the first group of alliens are uniquue compared to the new group  "
"614c80483d06dcf7ad552679","I just looked for any signs of familiarity and tried to match them in my head."
"614c8e5469405530dc27b9d5","None"
"614dd6473c74b217ad73cc9c","look if it look correct or familiar"
"61520b079436973e05f72d33","trying to remember the characters, especially the first 3 ones"
"61548fa2b637194e04c9bc09","focused on the placement of a particular symbol"
"6155e204cc071b306458dfff","Most of it was gut feeling with a few exceptions where I was sure I saw them before."
"6156a440279fdf408ee663ae","memoria fotografica"
"6156b68cc77b48d6693b361c","I did not use a particular strategy."
"615b1ab789b14c9996251fb4","I tried to remember as many character combinations as I could but I am not sure if it was effective."
"615da9ee365ab7d547b98979","I looked for familiar patterns from the first task"
"615f371e6688c87e53e7acf5","TO IDENTIFY CERTAIN CHARACTERS AND WHETHER THEY APPEAR"
"61616ce2bb94584e11c911af","What seemed more familiar to me I assumed it was from the same group of aliens (pressed k)"
"6163faf9d9ac4586fe776568","Vague recollection of the symbols I saw"
"616494f1ae4537c01914c758","I tried to remember specific letters and go with that"
"616631efeeac0979c1ba85a9","trying to recognize familiar letters"
"616891e25a026e1f7262116c","I try to remember how the word start"
"616eb493bb7e4ab4fa1de8d4","i tried to remember a few letters from the first task"
"6170821d1e8ffb9c893b28a4","Recognition "
"6171349b89a54d4823f9eca1","looked at things which seemed similar to what i had seen before and intuition"
"617142c2a843eef6f8f148b6","No strategy"
"6171d922c871ba795b6a4827","remembering"
"6172078b966225960be2a7b5","i dont have ant strategy"
"617679054948369cb824d837","see if i recognise the first letter or not"
"63ee5d8aaee278de46b7d4cc","Check the combination of the first few symbols "
"6455490f7c5f35e4221a810a","try to learn easy patterns of some 'words' that were shown to me earlier, press K for all the ones that seemed more similar to the patterns I remembered."
"64764d56699f097a96ec6e5c","I remembered some of the symbols"
"64973d83e4fc64d6ae59c370","shorter words weren't and words with lots of letters with angular ways weren't, there needed to be a mix of circles and lines"
"64a288758b7c82ff2d18da75","Try to recognyse some signs"
"64ef422a4789bd6b6b9042ce","remembering first and last symbols"
"65032a60861e9a17bc1a7444","cram"
"65089e7ce53888b0b3840c62","memory"
"650aee87054446f772acdfcc","I checked for some signs at the start and end of each words"
