"sbj_ID","UseL1Score","UseL2Score","UseL3Score","UseL4Score"
"61717173748006894b2b54ff",51.23,3.27,10.9,0
"6171946a19f6673fb215c0c7",16.35,37.06,8.72,0
"6171f219ee27aa0e23d076aa",39.24,15.26,0,0
"61758dd4ab7ec0d91a929f3d",15.26,37.06,4.36,2.18
"628ed30ae7ff849e8bc91c86",27.25,27.25,0,0
"631a1795de5efe7d3395caa3",39.24,15.26,0,0
"63c5335da2b625ab1ade7e7c",44.69,7.63,13.08,0
"6413799cf7721ee0ce637e09",54.5,0,0,0
"646e0d2370c16a7561ae7dcb",52.32,2.18,0,0
"649264e0b601af80c5677791",38.15,16.35,0,0
"6492c23a1a7735dfaab2b095",30.52,20.71,13.08,0
"6495a5f76daf70e418baf5f7",54.5,0,0,0
"6497e970e2621e753513a695",52.32,0,10.9,1.09
"64e7533f36d388e8b31d3309",4.36,50.14,0,0
"64e8bd55c9089d5bf26c90cd",52.32,2.18,10.9,0
"64e8c14bbe184c20cb9d0583",51.23,3.27,0,0
"64e9d6f596308448ac67bb95",51.23,3.27,10.9,0
"64f61553b5635b5e00595923",33.79,20.71,0,0
"64f7a35c5f6503caaa59f79f",32.7,21.8,0,0
"64fc701b223abd16ad5c940e",52.32,2.18,0,0
"650330fa0cbc534b423f41e9",38.15,4.36,21.8,1.09
"6505a9adbb769aeea736a2f5",39.24,15.26,0,0
"650aed9eb9cc2c717ba70c30",26.16,11.99,11.99,8.72
"6511e688100fd33b378fa688",22.89,29.43,6.54,0
"651c59ec0cb6fef4208190f5",39.24,14.17,10.9,0
"651eda4af4a809dbba0bb002",44.69,9.81,10.9,0
"65352001dbe3e18eae5a8300",51.23,3.27,10.9,0
"65361483b7f9881afa9b4cda",51.23,3.27,0,0
"653d2df588326f6f627b8cb5",42.51,11.99,10.9,0
"653fb764c9aed77c01457531",52.32,2.18,10.9,0
"654632f222cb15acd453c0d3",39.24,15.26,10.9,0
"65523123662559399b1aa48a",54.5,0,0,0
"6557def45fc0ffbd46ad01de",44.69,8.72,11.99,0
"655f5b404a09c686df3b0143",47.96,6.54,0,0
"655f8b959477c803eb906622",19.62,34.88,0,0
"65672c69a3737224f1d0bbfa",20.71,22.89,11.99,0
"65774d879c53cc867fbe070c",26.16,28.34,0,0
"657bfe6e245848c8fef0b389",52.32,2.18,10.9,0
"6597e935328d41ae3aeef33b",47.96,6.54,0,0
"6598994f0e7e5db183bfe3ee",39.24,15.26,0,0
"659ada2d6df23a57d8e56752",50.14,4.36,0,0
"65a97217d4fb858939a16b0f",44.69,8.72,11.99,0
"65a97afe116a650acc588c5b",54.5,0,0,0
"65abe33e1c79ea32da32ab0f",39.24,15.26,0,0
"65ae78fc9cd81e8e26612cb2",51.23,3.27,0,0
"65b901451577b2a0f18bc7ab",50.14,4.36,0,0
"65b96f3bbecf5e7d0f5853cd",51.23,3.27,0,0
"65c23d4dbad7238169292b54",45.78,8.72,0,0
"65cba84263ac644fa79702ca",53.41,1.09,0,0
"65cf6d92ac6f7932b1470fb4",19.62,34.88,0,0
"65dce7715387badaf80e875d",37.06,3.27,8.72,1.09
"65e7259b24116547c5512668",44.69,9.81,9.81,0
"65f33b94cd6885d54029582d",54.5,0,0,0
"65fae6b84fa6b3101d2ca4b1",29.43,25.07,0,0
"65fb18ef1c73590e7aaf1d48",38.15,7.63,14.17,2.18
"65fc949678623ac83f926940",29.43,21.8,14.17,0
"66031000461c44484ac359a8",44.69,6.54,11.99,0
"660678406bba1ade08345803",47.96,6.54,10.9,0
"6606800e185d326591af6f7a",11.99,15.26,25.07,4.36
"6606c9d692990fbf223f63bb",35.97,18.53,0,0
"660c0d70a8f60acced0c8cc8",51.23,3.27,0,0
