,sbj_ID,Age,Gender,Education,L1,L2,L3,L4,otherLs,task,AoAL1,AoAL2,AoAL3,AoAL4,AoEaseL1,AoEaseL2,AoEaseL3,AoEaseL4,yearsEduL1,yearsEduL2,yearsEduL3,yearsEduL4,yearsCountryL1,yearsCountryL2,yearsCountryL3,yearsCountryL4,yearsFamilyL1,yearsFamilyL2,yearsFamilyL3,yearsFamilyL4,yearsWorkL1,yearsWorkL2,yearsWorkL3,yearsWorkL4,PercFriendsL1,PercFriendsL2,PercFriendsL3,PercFriendsL4,PercFamilyL1,PercFamilyL2,PercFamilyL3,PercFamilyL4,PercWorkL1,PercWorkL2,PercWorkL3,PercWorkL4,PercSelfL1,PercSelfL2,PercSelfL3,PercSelfL4,PercCountL1,PercCountL2,PercCountL3,PercCountL4,ProfSpeakL1,ProfSpeakL2,ProfSpeakL3,ProfSpeakL4,ProfUnderstandL1,ProfUnderstandL2,ProfUnderstandL3,ProfUnderstandL4,ProfReadL1,ProfReadL2,ProfReadL3,ProfReadL4,AttentionL1,AttentionL2,AttentionL3,AttentionL4,ProfWriteL1,ProfWriteL2,ProfWriteL3,ProfWriteL4,AttSelfL1,AttSelfL2,AttSelfL3,AttSelfL4,AttCultureL1,AttCultureL2,AttCultureL3,AttCultureL4,AttNativeLevelL1,AttNativeLevelL2,AttNativeLevelL3,AttNativeLevelL4,AttMothertongueL1,AttMothertongueL2,AttMothertongueL3,AttMothertongueL4,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score
0,69a5e91eee249ee63d49f9ca,18,Woman,HighSchool,Dutch,English,n/a,n/a,Yes,BLP,20,16.0,,,20,12.0,,,12,12.0,,,18,18.0,,,18,18.0,,,18,10.0,,,10,0,,,10,0,,,9,1,,,7,3,,,8,2,,,6,6.0,,,6,6.0,,,6,6.0,,,true,true,,,5,5.0,,,6,6.0,,,6,6.0,,,6,4.0,,,6,5.0,,,48.124,39.044000000000004,0.0,0.0,47.96,6.540000000000001,0.0,0.0,52.21,52.21,0.0,0.0,54.480000000000004,47.67,0.0,0.0,202.774,145.464,0.0,0.0
0,69a6f5f930a06e13c4593d9d,22,Man,MinusCollege,English,Spanish,n/a,n/a,No,BLP,20,20.0,,,20,20.0,,,20,20.0,,,20,20.0,,,20,20.0,,,20,20.0,,,6,4,,,5,5,,,8,2,,,8,2,,,6,4,,,6,6.0,,,6,6.0,,,6,6.0,,,true,true,,,6,6.0,,,6,6.0,,,6,6.0,,,6,6.0,,,6,6.0,,,54.480000000000004,54.480000000000004,0.0,0.0,35.970000000000006,18.53,0.0,0.0,54.480000000000004,54.480000000000004,0.0,0.0,54.480000000000004,54.480000000000004,0.0,0.0,199.41000000000003,181.97000000000003,0.0,0.0
0,69a81ed11957a0f6e26144d2,23,Woman,College,Arabic,English,n/a,n/a,n/a,BLP,20,15.0,,,20,13.0,,,12,12.0,,,20,0.0,,,20,0.0,,,20,5.0,,,7,3,,,10,0,,,5,5,,,10,0,,,0,10,,,6,4.0,,,6,6.0,,,6,6.0,,,true,true,,,6,6.0,,,6,4.0,,,6,0.0,,,6,5.0,,,6,6.0,,,50.848,20.43,0.0,0.0,34.88,19.62,0.0,0.0,54.480000000000004,49.94,0.0,0.0,54.480000000000004,34.05,0.0,0.0,194.68800000000005,124.03999999999999,0.0,0.0
0,69aca66948779f79eefc2152,23,Man,Masters,Spanish,English,n/a,n/a,n/a,BLP,20,10.0,,,20,6.0,,,20,13.0,,,20,0.0,,,20,0.0,,,20,1.0,,,9,1,,,10,0,,,6,4,,,9,1,,,9,1,,,6,4.0,,,6,5.0,,,6,5.0,,,true,true,,,6,5.0,,,6,5.0,,,6,3.0,,,6,6.0,,,6,4.0,,,54.480000000000004,13.620000000000001,0.0,0.0,46.870000000000005,7.630000000000001,0.0,0.0,54.480000000000004,43.13,0.0,0.0,54.480000000000004,40.86,0.0,0.0,210.31,105.24,0.0,0.0
0,69aebf5ccbf8f23f086f7b6c,19,Woman,College,Catalan,Spanish,English,n/a,No,BLP,20,20.0,17.0,,20,15.0,12.0,,19,19.0,15.0,,19,19.0,0.0,,19,19.0,0.0,,19,19.0,0.0,,8,2,0,,9,1,0,,7,3,0,,10,0,0,,10,0,0,,6,6.0,4.0,,6,6.0,5.0,,6,6.0,5.0,,true,true,true,,6,6.0,5.0,,6,5.0,4.0,,6,1.0,0.0,,6,1.0,0.0,,6,1.0,0.0,,52.664,50.394,19.976,0.0,47.96,6.540000000000001,9.81,0.0,54.480000000000004,54.480000000000004,43.13,0.0,54.480000000000004,18.16,9.08,0.0,209.584,129.574,81.996,0.0
0,69aeec32d642e2a0092f6452,22,Man,College,Arabic,English,n/a,n/a,NO,BLP,20,5.0,,,15,1.0,,,12,5.0,,,20,0.0,,,20,0.0,,,5,2.0,,,8,2,,,9,1,,,7,3,,,8,2,,,3,7,,,6,4.0,,,6,5.0,,,6,5.0,,,true,true,,,6,4.0,,,6,5.0,,,6,2.0,,,6,5.0,,,5,5.0,,,41.768,5.902,0.0,0.0,38.150000000000006,16.35,0.0,0.0,54.480000000000004,40.86,0.0,0.0,52.21,38.59,0.0,0.0,186.60800000000003,101.702,0.0,0.0
0,69aeee44187fdda005ab835b,24,Man,College,Arabic,English,n/a,n/a,n/a,BLP,19,13.0,,,15,10.0,,,12,19.0,,,20,20.0,,,20,15.0,,,20,20.0,,,9,1,,,9,1,,,8,2,,,9,1,,,9,1,,,6,4.0,,,6,5.0,,,6,4.0,,,true,true,,,6,5.0,,,6,6.0,,,6,3.0,,,6,5.0,,,6,6.0,,,48.124,44.038000000000004,0.0,0.0,47.96,6.540000000000001,0.0,0.0,54.480000000000004,40.86,0.0,0.0,54.480000000000004,45.4,0.0,0.0,205.04400000000004,136.838,0.0,0.0
0,69af1632fa81c6ae5d2df790,25,Woman,College,Arabic,English,n/a,n/a,No,BLP,20,15.0,,,20,5.0,,,20,20.0,,,20,0.0,,,20,0.0,,,5,7.0,,,10,0,,,10,0,,,3,7,,,9,1,,,9,1,,,6,5.0,,,6,5.0,,,6,5.0,,,true,true,,,6,5.0,,,6,3.0,,,6,3.0,,,6,5.0,,,6,5.0,,,47.67,21.338,0.0,0.0,44.690000000000005,9.81,0.0,0.0,54.480000000000004,45.4,0.0,0.0,54.480000000000004,36.32,0.0,0.0,201.32000000000005,112.868,0.0,0.0
0,69af34e771ce9d065c0d9d80,23,Man,College,Arabic,English,n/a,n/a,no,BLP,20,15.0,,,20,14.0,,,16,14.0,,,20,20.0,,,20,20.0,,,20,5.0,,,9,1,,,10,0,,,6,4,,,10,0,,,9,1,,,6,4.0,,,6,6.0,,,6,6.0,,,true,true,,,6,4.0,,,6,2.0,,,6,1.0,,,6,2.0,,,6,2.0,,,52.664,39.952,0.0,0.0,47.96,6.540000000000001,0.0,0.0,54.480000000000004,45.4,0.0,0.0,54.480000000000004,15.89,0.0,0.0,209.584,107.782,0.0,0.0
0,69b0960f30730461ec1d57b1,22,Man,College,Spanish,English,French,Catalan,No,BLP,20,17.0,8.0,15.0,20,12.0,4.0,10.0,20,17.0,6.0,0.0,20,1.0,0.0,0.0,20,0.0,0.0,0.0,2,2.0,2.0,2.0,7,2,1,0,7,1,1,1,5,3,1,1,5,4,1,0,7,2,1,0,6,5.0,3.0,2.0,6,6.0,4.0,4.0,6,6.0,5.0,4.0,true,true,true,true,6,6.0,5.0,5.0,6,6.0,4.0,2.0,6,0.0,0.0,0.0,6,6.0,6.0,6.0,6,0.0,0.0,0.0,46.308,22.246000000000002,9.08,12.258000000000001,33.79,13.080000000000002,11.99,2.18,54.480000000000004,52.21,38.59,34.05,54.480000000000004,27.240000000000002,22.7,18.16,189.058,114.77600000000001,82.36,66.648
0,69b168262adfe7b4609a9209,23,Man,College,English,French,n/a,n/a,n/a,BLP,20,10.0,,,20,2.0,,,12,8.0,,,20,0.0,,,20,0.0,,,20,0.0,,,10,0,,,10,0,,,10,0,,,9,1,,,9,1,,,6,2.0,,,6,3.0,,,6,3.0,,,true,true,,,6,1.0,,,6,0.0,,,6,1.0,,,6,2.0,,,6,0.0,,,50.848,9.08,0.0,0.0,52.32000000000001,2.18,0.0,0.0,54.480000000000004,20.43,0.0,0.0,54.480000000000004,6.8100000000000005,0.0,0.0,212.12800000000004,38.5,0.0,0.0
0,69b52f9256ef2162a97fbebc,24,Man,PlusCollege,English,Hindi,n/a,n/a,n/a,BLP,19,19.0,,,16,16.0,,,12,20.0,,,20,20.0,,,20,20.0,,,4,4.0,,,7,3,,,5,5,,,8,2,,,8,2,,,9,1,,,6,6.0,,,6,6.0,,,6,6.0,,,true,true,,,6,6.0,,,6,4.0,,,5,6.0,,,6,5.0,,,5,6.0,,,41.314,44.946,0.0,0.0,40.330000000000005,14.170000000000002,0.0,0.0,54.480000000000004,54.480000000000004,0.0,0.0,49.94,47.67,0.0,0.0,186.06400000000002,161.26600000000002,0.0,0.0
0,69b81e444b794cbe8947b065,19,Man,MinusCollege,arabic,english,german,n/a,no,BLP,20,17.0,12.0,,20,6.0,4.0,,12,15.0,0.0,,19,0.0,0.0,,19,0.0,0.0,,0,0.0,0.0,,8,2,0,,9,1,0,,6,3,1,,9,1,0,,5,5,0,,6,4.0,2.0,,6,6.0,1.0,,6,6.0,2.0,,true,true,true,,6,6.0,1.0,,6,4.0,0.0,,6,2.0,0.0,,6,6.0,3.0,,4,6.0,6.0,,40.86,17.252,7.264,0.0,40.330000000000005,13.080000000000002,10.9,0.0,54.480000000000004,49.94,13.620000000000001,0.0,49.94,40.86,20.43,0.0,185.61,121.13199999999999,52.214,0.0
0,69bbe66ef888cc3fc9405de9,22,Man,College,French,English,Spanish,n/a,no,BLP,20,12.0,0.0,,20,9.0,0.0,,16,10.0,2.0,,20,1.0,0.0,,20,0.0,0.0,,20,0.0,0.0,,7,2,1,,10,0,0,,8,2,0,,5,5,0,,7,3,0,,6,6.0,1.0,,6,6.0,1.0,,6,6.0,2.0,,true,true,true,,6,6.0,0.0,,6,6.0,0.0,,6,3.0,0.0,,6,6.0,4.0,,6,6.0,3.0,,52.664,14.528,0.908,0.0,40.330000000000005,13.080000000000002,11.99,0.0,54.480000000000004,54.480000000000004,9.08,0.0,54.480000000000004,47.67,15.89,0.0,201.954,129.758,37.868,0.0
