,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,5c5e04ca6539fe00016e1afa,familiarity,2,aYQm,Ckbd,1,0,False,1100.0
0,5c5e04ca6539fe00016e1afa,familiarity,3,cMRl,YTOM,0,1,False,1007.0
0,5c5e04ca6539fe00016e1afa,familiarity,4,dGLAl,tcYbd,1,1,True,1031.0
0,5c5e04ca6539fe00016e1afa,familiarity,5,Yaum,aUZA,0,0,True,854.0
0,5c5e04ca6539fe00016e1afa,familiarity,6,hmKPM,Amacl,1,0,False,1134.0
0,5c5e04ca6539fe00016e1afa,familiarity,7,kRCkO,CDEmY,0,1,False,121.0
0,5c5e04ca6539fe00016e1afa,familiarity,8,rkYL,bdtK,1,1,True,1077.0
0,5c5e04ca6539fe00016e1afa,familiarity,9,AMkC,JAaG,1,0,False,941.0
0,5c5e04ca6539fe00016e1afa,familiarity,10,rULv,kCRm,1,1,True,790.0
0,5c5e04ca6539fe00016e1afa,familiarity,11,bmbN,bvkr,1,0,False,849.0
0,5c5e04ca6539fe00016e1afa,familiarity,12,TDKh,lkAk,1,1,True,828.0
0,5c5e04ca6539fe00016e1afa,familiarity,13,rvOvU,uQkrd,1,1,True,1045.0
0,5c5e04ca6539fe00016e1afa,familiarity,14,rbYbu,JmvmO,0,1,False,926.0
0,5c5e04ca6539fe00016e1afa,familiarity,15,hlbtb,JAdLm,0,1,False,969.0
0,5c5e04ca6539fe00016e1afa,familiarity,16,kPM,kKE,0,0,True,1096.0
0,5c5e04ca6539fe00016e1afa,familiarity,17,OcYM,DOAK,1,1,True,838.0
0,5c5e04ca6539fe00016e1afa,familiarity,18,rdLJa,Udumd,0,0,True,845.0
0,5c5e04ca6539fe00016e1afa,familiarity,19,kZUb,OCmk,1,0,False,946.0
0,5c5e04ca6539fe00016e1afa,familiarity,20,RCdc,vYLU,1,0,False,910.0
0,5c5e04ca6539fe00016e1afa,familiarity,21,MTdY,UrOQ,1,0,False,838.0
0,5c5e04ca6539fe00016e1afa,familiarity,22,kKEdM,damYb,0,0,True,820.0
0,5c5e04ca6539fe00016e1afa,familiarity,23,TAm,rba,0,1,False,891.0
0,5c5e04ca6539fe00016e1afa,familiarity,24,RhPm,UJmr,1,1,True,832.0
0,5c5e04ca6539fe00016e1afa,familiarity,25,lCbcm,thbOM,1,0,False,688.0
0,5c5e04ca6539fe00016e1afa,familiarity,26,GUa,dRA,1,1,True,739.0
0,5c5e04ca6539fe00016e1afa,familiarity,27,kbmZO,dMYBP,0,0,True,645.0
0,5c5e04ca6539fe00016e1afa,familiarity,28,rNlZ,dEPD,1,0,False,516.0
0,5c5e04ca6539fe00016e1afa,familiarity,29,JZOAk,ObOQl,1,1,True,446.0
0,5c5e04ca6539fe00016e1afa,familiarity,30,AOUl,dKRD,1,0,False,493.0
0,5caca6b4a9acb200011a6547,familiarity,1,bNdmG,mBmlA,0,0,True,1663.0
0,5caca6b4a9acb200011a6547,familiarity,2,YcdO,bdtK,0,1,False,1333.0
0,5caca6b4a9acb200011a6547,familiarity,3,lbBDE,RlAKc,1,1,True,1153.0
0,5caca6b4a9acb200011a6547,familiarity,4,aYQm,hbkd,0,0,True,1390.0
0,5caca6b4a9acb200011a6547,familiarity,5,cAZu,kZUb,1,1,True,934.0
0,5caca6b4a9acb200011a6547,familiarity,6,OmtlD,BMEMA,1,1,True,999.0
0,5caca6b4a9acb200011a6547,familiarity,7,OkGY,KDPA,1,1,True,1259.0
0,5caca6b4a9acb200011a6547,familiarity,8,hBK,cUN,1,0,False,1328.0
0,5caca6b4a9acb200011a6547,familiarity,9,EYtYR,GNAca,1,1,True,1591.0
0,5caca6b4a9acb200011a6547,familiarity,10,OYK,QGb,1,1,True,1326.0
0,5caca6b4a9acb200011a6547,familiarity,11,NYZu,RKYk,1,1,True,1260.0
0,5caca6b4a9acb200011a6547,familiarity,12,kam,dUr,0,1,False,1428.0
0,5caca6b4a9acb200011a6547,familiarity,13,MKmY,OdOP,0,1,False,1216.0
0,5caca6b4a9acb200011a6547,familiarity,14,lGc,KmE,0,0,True,900.0
0,5caca6b4a9acb200011a6547,familiarity,15,UvOG,QvlZ,0,0,True,1257.0
0,5caca6b4a9acb200011a6547,familiarity,16,kMbTR,lAOKM,0,1,False,1232.0
0,5caca6b4a9acb200011a6547,familiarity,17,Qclad,hBmMC,1,1,True,1268.0
0,5caca6b4a9acb200011a6547,familiarity,18,kmU,Jud,0,0,True,1017.0
0,5caca6b4a9acb200011a6547,familiarity,19,PMYm,rkJu,1,1,True,1202.0
0,5caca6b4a9acb200011a6547,familiarity,20,MhKd,Ddck,0,1,False,1654.0
0,5caca6b4a9acb200011a6547,familiarity,21,Cchtd,dTmED,1,0,False,1262.0
0,5caca6b4a9acb200011a6547,familiarity,22,lGZv,TklD,0,0,True,728.0
0,5caca6b4a9acb200011a6547,familiarity,23,PcBT,Udbd,1,1,True,1044.0
0,5caca6b4a9acb200011a6547,familiarity,24,AmQOY,tcYbd,1,1,True,1622.0
0,5caca6b4a9acb200011a6547,familiarity,25,ZAUu,PdDT,1,0,False,1188.0
