,sbj_ID,Age,Gender,Education,L1,L2,L3,L4,otherLs,task,AoAL1,AoAL2,AoEaseL1,AoEaseL2,yearsEduL1,yearsEduL2,yearsCountryL1,yearsCountryL2,yearsFamilyL1,yearsFamilyL2,yearsWorkL1,yearsWorkL2,PercFriendsL1,PercFriendsL2,PercFamilyL1,PercFamilyL2,PercWorkL1,PercWorkL2,PercSelfL1,PercSelfL2,PercCountL1,PercCountL2,ProfSpeakL1,ProfSpeakL2,ProfUnderstandL1,ProfUnderstandL2,ProfReadL1,ProfReadL2,AttentionL1,AttentionL2,ProfWriteL1,ProfWriteL2,AttSelfL1,AttSelfL2,AttCultureL1,AttCultureL2,AttNativeLevelL1,AttNativeLevelL2,AttMothertongueL1,AttMothertongueL2,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score,AoAL3,AoEaseL3,yearsEduL3,yearsCountryL3,yearsFamilyL3,yearsWorkL3,PercFriendsL3,PercFamilyL3,PercWorkL3,PercSelfL3,PercCountL3,ProfSpeakL3,ProfUnderstandL3,ProfReadL3,AttentionL3,ProfWriteL3,AttSelfL3,AttCultureL3,AttNativeLevelL3,AttMothertongueL3,AoAL4,AoEaseL4,yearsEduL4,yearsCountryL4,yearsFamilyL4,yearsWorkL4,PercFriendsL4,PercFamilyL4,PercWorkL4,PercSelfL4,PercCountL4,ProfSpeakL4,ProfUnderstandL4,ProfReadL4,AttentionL4,ProfWriteL4,AttSelfL4,AttCultureL4,AttNativeLevelL4,AttMothertongueL4
0,604d5e61486bd0622d2102c0,24,Woman,HighSchool,English,n/a,n/a,n/a,n/a,BLP,20,,20,,20,,20,,20,,20,,10,,10,,10,,10,,10,,6,,6,,6,,true,,6,,6,,6,,6,,6,,54.480000000000004,0.0,0.0,0.0,54.50000000000001,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,217.94000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6057a8fe2d302939fc759940,22,Woman,HighSchool,polish,english,russian,n/a,no,BLP,20,14.0,20,8.0,20,16.0,20,0.0,20,0.0,20,3.0,8,2,9,1,2,8,3,7,9,1,6,6.0,6,6.0,6,6.0,true,true,6,6.0,6,6.0,6,6.0,6,6.0,6,6.0,54.480000000000004,18.614,7.264,0.0,33.79,20.71,9.81,0.0,54.480000000000004,54.480000000000004,18.16,0.0,54.480000000000004,54.480000000000004,2.27,0.0,197.23000000000002,148.284,37.504000000000005,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0,0,0,0,0,2.0,3.0,1.0,true,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,60a8bd22d03adbe92cbb9a5e,25,Man,College,English,IsiZulu,n/a,n/a,No,BLP,17,15.0,20,12.0,20,12.0,20,20.0,20,20.0,20,20.0,8,2,8,2,9,1,8,2,10,0,6,5.0,6,5.0,6,1.0,true,true,6,3.0,6,4.0,6,5.0,6,3.0,6,6.0,53.118,44.946,0.0,0.0,46.870000000000005,7.630000000000001,0.0,0.0,54.480000000000004,31.78,0.0,0.0,54.480000000000004,40.86,0.0,0.0,208.94800000000004,125.216,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,60c4a402716a8f9074fcd92e,22,Man,PlusCollege,Italian,English,French,German,no,BLP,20,14.0,20,10.0,20,20.0,20,1.0,20,0.0,20,0.0,9,1,10,0,10,0,8,2,10,0,6,6.0,6,6.0,6,6.0,true,true,6,6.0,5,6.0,6,6.0,6,1.0,6,5.0,54.480000000000004,20.43,13.166,10.896,51.230000000000004,3.2700000000000005,10.9,0.0,54.480000000000004,54.480000000000004,40.86,29.51,52.21,40.86,6.8100000000000005,4.54,212.4,119.04,71.736,44.946000000000005,8.0,6.0,15.0,0.0,0.0,0.0,0,0,0,0,0,4.0,4.0,4.0,true,6.0,0.0,1.0,1.0,1.0,5.0,4.0,15.0,0.0,0.0,0.0,0,0,0,0,0,3.0,3.0,4.0,true,3.0,0.0,1.0,1.0,0.0
0,60c715c89bb47f3847a690f0,25,Woman,Masters,Chinese,English,n/a,n/a,n/a,BLP,20,10.0,20,5.0,20,18.0,20,5.0,20,3.0,0,3.0,2,8,8,2,1,9,4,6,8,2,6,6.0,6,6.0,6,6.0,true,true,6,6.0,3,3.0,4,4.0,2,6.0,4,5.0,45.4,19.976,0.0,0.0,25.07,29.430000000000003,0.0,0.0,54.480000000000004,54.480000000000004,0.0,0.0,29.51,40.86,0.0,0.0,154.46,144.746,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,60c873a65a9883b52f70db6c,23,Woman,Masters,Dutch,English,n/a,n/a,no,BLP,20,10.0,20,4.0,18,4.0,20,0.0,20,0.0,3,0.0,10,0,10,0,10,0,9,1,9,1,6,5.0,6,6.0,6,5.0,true,true,5,4.0,6,4.0,6,2.0,6,6.0,6,5.0,45.854,8.172,0.0,0.0,52.32000000000001,2.18,0.0,0.0,52.21,45.4,0.0,0.0,54.480000000000004,38.59,0.0,0.0,204.86400000000003,94.342,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,60db9c9850c39eea109ef1d3,25,Man,College,Xhosa,English,Isiulu,n/a,no,BLP,20,17.0,20,13.0,0,18.0,20,20.0,20,20.0,20,20.0,6,2,8,2,0,10,7,2,0,10,5,5.0,6,6.0,3,6.0,true,true,3,6.0,6,6.0,6,0.0,6,6.0,6,6.0,45.4,49.032000000000004,23.608,0.0,22.89,28.340000000000003,11.99,0.0,38.59,52.21,18.16,0.0,54.480000000000004,40.86,20.43,0.0,161.36,170.442,74.18799999999999,0.0,8.0,4.0,0.0,20.0,0.0,20.0,2,0,0,1,0,3.0,4.0,1.0,true,0.0,3.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,
0,60e586145b73b702a608bace,22,Woman,College,Spanish,English,French,n/a,No,BLP,20,17.0,20,7.0,16,16.0,19,3.0,19,3.0,19,1.0,2,8,4,6,6,3,4,5,4,5,6,5.0,6,5.0,6,6.0,true,true,6,6.0,6,6.0,6,5.0,6,6.0,6,6.0,51.302,21.338,12.712,0.0,21.8,29.430000000000003,7.630000000000001,0.0,54.480000000000004,49.94,22.7,0.0,54.480000000000004,52.21,4.54,0.0,182.062,152.918,47.582,0.0,9.0,5.0,12.0,1.0,1.0,0.0,0,0,1,1,1,3.0,2.0,2.0,true,3.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,60f9739250a5c6f6e4726336,20,Woman,HighSchool,Polish,English,Russian,n/a,"I speak polish, english and russian",BLP,20,10.0,20,4.0,12,8.0,20,0.0,20,0.0,2,2.0,7,2,10,0,6,4,8,2,9,1,6,4.0,6,5.0,6,6.0,true,true,6,6.0,6,6.0,6,6.0,6,5.0,6,3.0,42.676,10.896,2.27,0.0,43.6,9.81,11.99,0.0,54.480000000000004,47.67,20.43,0.0,54.480000000000004,45.4,29.51,0.0,195.23600000000005,113.77600000000001,64.2,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1.0,3.0,3.0,true,2.0,2.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
0,6102ee48644f517877d64d2b,25,Woman,PlusCollege,English,Sesotho,IsiZulu,n/a,Yes,BLP,15,17.0,14,20.0,20,20.0,20,20.0,10,20.0,20,20.0,3,5,2,7,8,1,1,8,10,0,6,6.0,6,6.0,6,6.0,true,true,6,6.0,6,6.0,6,6.0,5,6.0,4,6.0,44.946,53.118,47.216,0.0,26.160000000000004,22.89,6.540000000000001,0.0,54.480000000000004,54.480000000000004,52.21,0.0,47.67,54.480000000000004,47.67,0.0,173.256,184.96800000000002,153.63600000000002,0.0,15.0,15.0,14.0,20.0,20.0,20.0,2,1,1,1,0,6.0,6.0,6.0,true,5.0,6.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,
