,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,60fa6f5d0c4ef9c26538f610,familiarity,16,DLVZY,IPHAQ,0,0,True,1420.0
0,60fa6f5d0c4ef9c26538f610,familiarity,17,RMPE,PJRY,1,1,True,916.0
0,60fa6f5d0c4ef9c26538f610,familiarity,18,AJE,OQW,0,1,False,1104.0
0,60fa6f5d0c4ef9c26538f610,familiarity,19,BWGO,BIPA,0,0,True,1161.0
0,60fa6f5d0c4ef9c26538f610,familiarity,20,GOZHM,XQXQF,1,1,True,1265.0
0,60fa6f5d0c4ef9c26538f610,familiarity,21,LHQ,TUZ,1,1,True,1154.0
0,60fa6f5d0c4ef9c26538f610,familiarity,22,REAHU,GHRJQ,1,1,True,943.0
0,60fa6f5d0c4ef9c26538f610,familiarity,23,PGF,DRM,0,0,True,1065.0
0,60fa6f5d0c4ef9c26538f610,familiarity,24,ZCPBU,YOWYC,0,0,True,1281.0
0,60fa6f5d0c4ef9c26538f610,familiarity,25,QWSN,QXUT,0,0,True,1061.0
0,60fa6f5d0c4ef9c26538f610,familiarity,26,OEJAX,QWBSJ,0,0,True,1013.0
0,60fa6f5d0c4ef9c26538f610,familiarity,27,JNO,ZKY,0,0,True,1321.0
0,60fa6f5d0c4ef9c26538f610,familiarity,28,DNHQM,CGYAM,1,1,True,1212.0
0,60fa6f5d0c4ef9c26538f610,familiarity,29,PQYCZ,RWEQM,1,1,True,1072.0
0,60fa6f5d0c4ef9c26538f610,familiarity,30,QANKY,CWGEV,0,1,False,1284.0
0,60fa7628023c88195f68529c,familiarity,1,CQBFS,OTJMU,0,0,True,1926.0
0,60fa7628023c88195f68529c,familiarity,2,PHCHI,NVLXN,1,0,False,2374.0
0,60fa7628023c88195f68529c,familiarity,3,HNCXA,BRSWX,1,1,True,2086.0
0,60fa7628023c88195f68529c,familiarity,4,UKUBO,WFQNZ,1,1,True,1803.0
0,60fa7628023c88195f68529c,familiarity,5,IQEVF,GEUHQ,0,1,False,878.0
0,60fa7628023c88195f68529c,familiarity,6,CHASS,ZKGBF,0,0,True,1126.0
0,60fa7628023c88195f68529c,familiarity,7,PTP,FMZ,1,0,False,1180.0
0,60fa7628023c88195f68529c,familiarity,8,AEBW,JKGD,1,1,True,1373.0
0,60fa7628023c88195f68529c,familiarity,9,PBKN,KGLU,0,1,False,960.0
0,60fa7628023c88195f68529c,familiarity,10,XTYQ,UXWL,1,0,False,960.0
0,60fa7628023c88195f68529c,familiarity,11,DRBW,CPJS,1,1,True,1547.0
0,60fa7628023c88195f68529c,familiarity,12,VIRB,SZID,1,1,True,915.0
0,60fa7628023c88195f68529c,familiarity,13,YWGO,XMYC,0,1,False,1958.0
