"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","response","stimulus","success","item","task","correct_response","testing_condition","correct","target","confound","name","view_history"
"html-keyboard-response","736","1619517","0.0-25.0-0.77","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","36","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">TbKMEOMlT<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","TbKMEOMlT","testing","d","[""morcodeXmorcode""]","false","","","",""
"html-keyboard-response","737","1619715","0.0-25.0-0.78","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","197","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">dRbDbYmb<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","dRbDbYmb","testing","d","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","738","1619870","0.0-25.0-0.79","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","153","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">kabJbEPBT<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","kabJbEPBT","testing","d","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","739","1620143","0.0-25.0-0.80","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","272","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">cRElDrULv<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","cRElDrULv","testing","d","[""morcodeXmorcode""]","true","","","",""
"html-keyboard-response","740","1620457","0.0-25.0-0.81","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","312","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">UYZlZNYZu<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","UYZlZNYZu","testing","d","[""morcodeXmorcode""]","true","","","",""
"html-keyboard-response","741","1620460","0.0-25.0-0.82","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","1","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">ZYcQULaA<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","ZYcQULaA","testing","d","[""morcodeXmorcode""]","false","","","",""
"html-keyboard-response","742","1620688","0.0-25.0-0.83","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","227","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">NmAGYDTk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","NmAGYDTk","testing","k","[""morcodeXmorpheme""]","true","","","",""
"html-keyboard-response","743","1620846","0.0-25.0-0.84","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","156","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">ObOQlYKPB<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","ObOQlYKPB","testing","d","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","744","1620999","0.0-25.0-0.85","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","151","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">hTDdEPBT<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","hTDdEPBT","testing","k","[""morcodeXmorpheme""]","false","","","",""
"html-keyboard-response","745","1621048","0.0-25.0-0.86","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","48","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">NbmQUYDTk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","NbmQUYDTk","testing","k","[""morcodeXmorpheme""]","true","","","",""
